epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1040.62,0.18117,0.61612,0.85507,0.89671,0.84836,0.89653,0.55617,1.25994,1.7165,1.69681,0.0005941,0.0005941,0.0005941
43,1065.28,0.17759,0.60737,0.85092,0.90742,0.84005,0.89691,0.55681,1.21192,1.55174,1.64263,0.0005842,0.0005842,0.0005842
44,1089.94,0.18335,0.60919,0.85462,0.90844,0.84557,0.90021,0.55762,1.20791,1.67928,1.62891,0.0005743,0.0005743,0.0005743
45,1114.56,0.18493,0.61265,0.85275,0.91007,0.8484,0.89863,0.55932,1.22306,1.69638,1.65232,0.0005644,0.0005644,0.0005644
46,1139.14,0.17947,0.6065,0.8459,0.8945,0.85716,0.89743,0.55956,1.20574,1.5983,1.61633,0.0005545,0.0005545,0.0005545
47,1163.71,0.17912,0.60098,0.85128,0.90958,0.83952,0.89377,0.56265,1.18748,1.60097,1.60029,0.0005446,0.0005446,0.0005446
48,1188.37,0.17746,0.59993,0.84957,0.8909,0.84361,0.88674,0.55946,1.20459,1.67734,1.64931,0.0005347,0.0005347,0.0005347
49,1212.97,0.18052,0.6025,0.84938,0.91003,0.84785,0.89586,0.55883,1.22642,1.63185,1.65268,0.0005248,0.0005248,0.0005248
50,1237.59,0.18027,0.59815,0.84925,0.88743,0.85943,0.89774,0.55626,1.28279,1.66698,1.64771,0.0005149,0.0005149,0.0005149
51,1262.17,0.17576,0.59152,0.84641,0.90539,0.83889,0.8902,0.55189,1.28283,1.6903,1.6913,0.000505,0.000505,0.000505
52,1286.81,0.17386,0.58124,0.8479,0.89762,0.86529,0.89111,0.55433,1.21415,1.65764,1.60185,0.0004951,0.0004951,0.0004951
53,1311.44,0.17659,0.58945,0.84791,0.87885,0.85244,0.88259,0.55242,1.21887,1.66591,1.64708,0.0004852,0.0004852,0.0004852
54,1336.09,0.17346,0.58453,0.84797,0.90175,0.84461,0.88894,0.5595,1.22226,1.62479,1.63087,0.0004753,0.0004753,0.0004753
55,1360.75,0.17829,0.58995,0.85033,0.88254,0.85492,0.8835,0.55543,1.19689,1.56182,1.57644,0.0004654,0.0004654,0.0004654
56,1385.48,0.18295,0.59403,0.84844,0.89367,0.86813,0.90008,0.56212,1.25971,1.59909,1.62245,0.0004555,0.0004555,0.0004555
57,1410.1,0.17385,0.58069,0.84596,0.89677,0.84944,0.89658,0.56646,1.28271,1.65576,1.63348,0.0004456,0.0004456,0.0004456
58,1434.74,0.17096,0.57237,0.84197,0.89369,0.86668,0.90298,0.56627,1.29204,1.6036,1.67808,0.0004357,0.0004357,0.0004357
59,1459.61,0.17285,0.57189,0.84344,0.91133,0.84397,0.89811,0.56398,1.22939,1.53324,1.62569,0.0004258,0.0004258,0.0004258
60,1484.32,0.17659,0.57642,0.84183,0.89587,0.85166,0.90215,0.56756,1.25902,1.66522,1.64881,0.0004159,0.0004159,0.0004159
61,1509.03,0.17433,0.57277,0.84337,0.90203,0.85184,0.90549,0.56315,1.20517,1.59357,1.57995,0.000406,0.000406,0.000406
62,1534.03,0.17569,0.57507,0.84072,0.89585,0.85882,0.90942,0.56977,1.27713,1.68103,1.64068,0.0003961,0.0003961,0.0003961
63,1558.8,0.16982,0.56951,0.84255,0.89043,0.84405,0.89709,0.56226,1.26432,1.63705,1.63009,0.0003862,0.0003862,0.0003862
64,1583.43,0.16839,0.56759,0.84115,0.89947,0.8139,0.88627,0.56407,1.241,1.62554,1.60941,0.0003763,0.0003763,0.0003763
65,1608.12,0.16546,0.56154,0.84003,0.88401,0.86604,0.89887,0.56264,1.30714,1.81015,1.62935,0.0003664,0.0003664,0.0003664
66,1632.72,0.1646,0.5581,0.83965,0.90202,0.84705,0.89515,0.56573,1.31277,1.67218,1.61781,0.0003565,0.0003565,0.0003565
67,1657.34,0.16697,0.55635,0.8399,0.9046,0.85534,0.89859,0.56598,1.28682,1.59844,1.59097,0.0003466,0.0003466,0.0003466
68,1681.92,0.16719,0.55605,0.83977,0.88542,0.85891,0.90338,0.56915,1.29174,1.58388,1.62545,0.0003367,0.0003367,0.0003367
69,1706.61,0.17414,0.56679,0.84244,0.8958,0.85758,0.90207,0.57198,1.26846,1.58656,1.60515,0.0003268,0.0003268,0.0003268
70,1731.2,0.16881,0.55641,0.84023,0.91627,0.83803,0.90819,0.57347,1.3044,1.59447,1.67422,0.0003169,0.0003169,0.0003169
71,1755.84,0.16624,0.54763,0.83835,0.90076,0.85742,0.90122,0.56869,1.28947,1.62833,1.61585,0.000307,0.000307,0.000307
72,1780.4,0.16143,0.54223,0.83618,0.89817,0.8618,0.90266,0.57145,1.29402,1.63345,1.62766,0.0002971,0.0002971,0.0002971
73,1805.07,0.16348,0.54692,0.83809,0.8961,0.85782,0.8944,0.56718,1.27538,1.64733,1.60733,0.0002872,0.0002872,0.0002872
74,1829.76,0.16561,0.5458,0.83808,0.9028,0.85062,0.89902,0.56989,1.27432,1.5426,1.6368,0.0002773,0.0002773,0.0002773
75,1854.38,0.16105,0.54562,0.8406,0.89312,0.84622,0.89778,0.56794,1.2796,1.57311,1.60102,0.0002674,0.0002674,0.0002674
76,1879,0.16399,0.54458,0.8356,0.90134,0.85727,0.89878,0.56842,1.26348,1.54184,1.60016,0.0002575,0.0002575,0.0002575
77,1903.59,0.16022,0.5362,0.83538,0.9014,0.86161,0.90629,0.57154,1.28707,1.52579,1.62939,0.0002476,0.0002476,0.0002476
78,1928.23,0.16123,0.53421,0.83805,0.90848,0.85603,0.90568,0.57094,1.29243,1.55449,1.59257,0.0002377,0.0002377,0.0002377
79,1952.78,0.16122,0.53724,0.83967,0.89771,0.85958,0.90478,0.56995,1.34713,1.62322,1.6471,0.0002278,0.0002278,0.0002278
80,1977.36,0.15949,0.5328,0.83288,0.90294,0.85694,0.90729,0.57488,1.32424,1.5669,1.64792,0.0002179,0.0002179,0.0002179
81,2001.98,0.1615,0.53532,0.83845,0.90353,0.86285,0.90502,0.5706,1.35863,1.65019,1.7194,0.000208,0.000208,0.000208
