                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.98249,                0.79663,                 1.3986,                 1.1733,                0.93135,                 1.3684,                 0.8284,                0.71236,                0.80043,                0.45591,                  1.315,                 0.8198,                 1.6432,                 1.4651,                 0.9918,                 1.5659,              0.0008548,              0.0008548,              0.0008548
                     25,                0.94823,                0.78073,                 1.3958,                 1.1172,                0.90421,                 1.3724,                0.81673,                0.76039,                0.81899,                0.46071,                 1.3338,                 0.8038,                 1.6382,                 1.5089,                  0.908,                 1.5933,              0.0008482,              0.0008482,              0.0008482
                     26,                0.94733,                0.79018,                 1.3898,                 1.1182,                0.91372,                 1.3664,                0.78648,                0.77085,                0.80919,                0.46106,                 1.3938,                0.85404,                 1.6832,                 1.5749,                  1.025,                  1.608,              0.0008416,              0.0008416,              0.0008416
                     27,                0.95223,                0.78341,                 1.3953,                 1.1187,                0.89414,                 1.3704,                0.82409,                0.77627,                0.81884,                0.46186,                 1.3494,                0.80974,                 1.6325,                 1.5019,                0.93912,                 1.5677,               0.000835,               0.000835,               0.000835
                     28,                 0.9485,                0.77119,                 1.3918,                  1.132,                0.89862,                 1.3679,                0.82029,                0.77023,                0.82197,                0.46569,                 1.3503,                0.81077,                 1.6474,                 1.4472,                0.99074,                 1.5354,              0.0008284,              0.0008284,              0.0008284
                     29,                0.94339,                0.78003,                 1.3744,                 1.1258,                0.89849,                 1.3463,                0.81645,                0.74872,                0.80706,                 0.4593,                 1.3562,                0.81479,                 1.6734,                 1.5474,                0.97503,                  1.598,              0.0008218,              0.0008218,              0.0008218
                     30,                0.91534,                0.76231,                 1.3918,                 1.0737,                0.87959,                 1.3612,                0.86105,                0.73549,                0.81195,                0.46393,                 1.2963,                0.78498,                 1.6159,                 1.4761,                  0.914,                 1.5633,              0.0008152,              0.0008152,              0.0008152
                     31,                0.92461,                0.76366,                 1.3828,                 1.0878,                0.88726,                 1.3611,                0.81046,                0.73701,                 0.8067,                0.44908,                 1.3442,                0.81978,                 1.6614,                 1.4453,                0.96477,                  1.572,              0.0008086,              0.0008086,              0.0008086
                     32,                0.93656,                0.76939,                 1.3941,                 1.0999,                0.88781,                 1.3746,                0.80655,                0.77418,                0.82372,                0.47283,                 1.3563,                0.79073,                 1.6711,                 1.4981,                0.91641,                 1.5978,               0.000802,               0.000802,               0.000802
                     33,                0.92285,                0.75582,                 1.3728,                 1.0873,                0.85481,                 1.3516,                0.85574,                0.73965,                0.81746,                0.45307,                  1.366,                 0.7969,                 1.6622,                 1.5737,                0.88951,                 1.6109,              0.0007954,              0.0007954,              0.0007954
                     34,                0.89295,                0.74201,                 1.3515,                 1.0738,                0.83532,                 1.3352,                0.87389,                0.76092,                0.83537,                0.47375,                 1.3022,                0.75345,                 1.6218,                 1.5204,                0.84722,                 1.5823,              0.0007888,              0.0007888,              0.0007888
                     35,                0.90133,                0.72281,                 1.3443,                 1.0865,                0.81746,                 1.3263,                0.86746,                0.74306,                0.82237,                0.45964,                 1.3643,                0.78012,                   1.64,                 1.5324,                 0.8755,                  1.585,              0.0007822,              0.0007822,              0.0007822
                     36,                0.91329,                0.74739,                 1.3576,                 1.0972,                0.85529,                 1.3355,                0.87595,                0.73409,                0.82753,                0.47544,                 1.3188,                0.77277,                 1.6039,                 1.4529,                0.91056,                 1.5517,              0.0007756,              0.0007756,              0.0007756
                     37,                0.89252,                0.73923,                 1.3615,                  1.071,                0.82789,                  1.342,                0.87579,                0.75515,                0.82985,                0.46715,                 1.3017,                0.78345,                 1.5955,                 1.4767,                0.89894,                 1.5589,               0.000769,               0.000769,               0.000769
                     38,                0.89095,                0.73627,                 1.3466,                  1.082,                0.84197,                  1.332,                0.85891,                0.74534,                0.82867,                0.47553,                 1.3381,                0.80536,                 1.6193,                 1.4717,                0.96978,                 1.5459,              0.0007624,              0.0007624,              0.0007624
                     39,                 0.8918,                0.73389,                 1.3468,                 1.0731,                0.82865,                 1.3289,                0.83598,                0.76508,                0.82533,                0.47154,                 1.3688,                0.78112,                 1.6628,                 1.4727,                0.92873,                 1.5726,              0.0007558,              0.0007558,              0.0007558
                     40,                0.91036,                0.73997,                 1.3465,                 1.0871,                0.83043,                 1.3279,                0.86687,                 0.7535,                0.82815,                0.46576,                 1.4163,                0.80329,                 1.6884,                 1.5738,                0.89303,                 1.6288,              0.0007492,              0.0007492,              0.0007492
                     41,                0.89667,                0.73432,                 1.3338,                 1.0849,                0.83824,                 1.3138,                0.86332,                0.74488,                 0.8323,                0.47218,                 1.3252,                0.78216,                 1.6139,                  1.431,                0.92055,                 1.5306,              0.0007426,              0.0007426,              0.0007426
                     42,                0.86402,                0.72356,                 1.3306,                 1.0462,                0.83194,                 1.3159,                0.83972,                0.77375,                0.83074,                0.46552,                 1.3244,                0.79385,                  1.642,                  1.458,                 0.9418,                 1.5693,               0.000736,               0.000736,               0.000736
                     43,                0.86655,                0.71796,                 1.3429,                 1.0406,                0.81203,                 1.3225,                 0.8778,                0.75764,                0.83787,                0.46665,                 1.3368,                0.78211,                 1.6389,                 1.5076,                0.88823,                 1.5917,              0.0007294,              0.0007294,              0.0007294
                     44,                0.85008,                0.70847,                 1.3291,                 1.0158,                0.79578,                 1.3095,                0.83164,                0.78178,                0.82877,                0.47329,                 1.3735,                 0.7679,                 1.6372,                 1.4805,                0.91418,                 1.5768,              0.0007228,              0.0007228,              0.0007228
                     45,                0.90224,                0.73562,                 1.3452,                 1.0924,                0.83851,                  1.322,                0.83787,                0.74587,                0.81482,                0.46387,                 1.3716,                0.79956,                 1.6543,                 1.4951,                0.96681,                 1.5738,              0.0007162,              0.0007162,              0.0007162
                     46,                0.85213,                0.70509,                 1.3209,                 1.0295,                0.79539,                 1.3036,                0.83675,                0.77574,                0.82193,                0.46666,                 1.3098,                0.76416,                 1.6086,                 1.4638,                0.87691,                 1.5352,              0.0007096,              0.0007096,              0.0007096
                     47,                0.84866,                0.69987,                 1.3076,                 1.0447,                0.79886,                 1.2928,                0.86261,                0.77472,                0.83483,                0.46815,                 1.3562,                0.75932,                 1.6588,                 1.5494,                0.87053,                 1.6056,               0.000703,               0.000703,               0.000703
                     48,                0.86549,                0.70354,                 1.3328,                 1.0435,                0.78712,                 1.3211,                0.89696,                0.73573,                0.83988,                0.47076,                 1.3646,                0.75387,                 1.6607,                 1.5297,                0.85597,                 1.6119,              0.0006964,              0.0006964,              0.0006964
                     49,                0.85649,                0.71246,                 1.3356,                 1.0393,                 0.8009,                 1.3222,                0.84577,                0.77991,                0.82174,                0.47139,                 1.4063,                0.76699,                 1.6601,                 1.5938,                0.82084,                 1.6055,              0.0006898,              0.0006898,              0.0006898
                     50,                0.83951,                0.69169,                 1.3125,                  1.005,                0.76694,                  1.304,                0.86372,                0.74988,                0.82951,                0.47996,                 1.3078,                0.74319,                 1.6145,                 1.5158,                0.83696,                 1.5623,              0.0006832,              0.0006832,              0.0006832
                     51,                0.83857,                0.70009,                 1.3032,                 1.0308,                0.79791,                 1.2938,                0.86586,                0.75949,                 0.8259,                0.47678,                 1.3263,                0.78677,                 1.6349,                 1.5257,                0.90648,                 1.5707,              0.0006766,              0.0006766,              0.0006766
                     52,                0.84717,                0.69586,                 1.3235,                 1.0323,                0.78262,                 1.3141,                0.84358,                0.76783,                 0.8326,                0.47387,                 1.3402,                0.77012,                 1.6467,                 1.5204,                0.88877,                 1.5927,                0.00067,                0.00067,                0.00067
                     53,                0.84636,                0.69006,                 1.3151,                 1.0231,                0.77404,                 1.3028,                0.85055,                0.78735,                0.83817,                0.48465,                 1.3412,                0.75032,                 1.6424,                  1.464,                0.87037,                 1.5878,              0.0006634,              0.0006634,              0.0006634
                     54,                0.82651,                0.68628,                 1.3047,                 1.0143,                0.77596,                 1.2949,                0.84929,                0.79525,                0.83593,                0.47234,                 1.3671,                  0.752,                 1.6377,                 1.5734,                0.80394,                 1.6022,              0.0006568,              0.0006568,              0.0006568
                     55,                0.83469,                0.68115,                 1.3037,                 1.0205,                 0.7635,                 1.2886,                0.82214,                0.79517,                0.83994,                0.48226,                 1.3577,                0.74405,                 1.6436,                 1.5504,                0.81257,                 1.5922,              0.0006502,              0.0006502,              0.0006502
                     56,                0.84146,                0.68429,                 1.3217,                 1.0211,                0.76762,                  1.307,                0.87824,                0.76876,                  0.843,                  0.485,                 1.3621,                0.73846,                 1.6355,                 1.5093,                0.83351,                 1.5939,              0.0006436,              0.0006436,              0.0006436
                     57,                0.81385,                0.66727,                 1.2949,                 1.0023,                0.73839,                 1.2873,                0.85318,                0.78382,                0.84158,                0.47639,                 1.3674,                0.76706,                  1.643,                  1.615,                0.78866,                 1.6326,               0.000637,               0.000637,               0.000637
                     58,                0.80656,                0.67034,                 1.2834,                0.99222,                0.74855,                 1.2731,                0.85461,                0.74579,                0.81051,                0.46564,                 1.3822,                0.76777,                 1.6615,                  1.593,                0.85287,                 1.6067,              0.0006304,              0.0006304,              0.0006304
                     59,                0.82058,                0.66608,                 1.2917,                 1.0117,                0.73763,                   1.28,                0.83295,                0.79583,                0.84542,                0.48316,                 1.3087,                0.72214,                 1.6094,                 1.5321,                0.79569,                 1.5718,              0.0006238,              0.0006238,              0.0006238
                     60,                 0.8133,                0.67154,                 1.2891,                0.99296,                0.74775,                 1.2807,                 0.8598,                  0.787,                0.84475,                0.47613,                 1.3547,                0.75801,                 1.6574,                 1.5014,                0.88962,                 1.5842,              0.0006172,              0.0006172,              0.0006172
                     61,                0.82287,                0.66341,                 1.2809,                 1.0066,                0.74143,                 1.2677,                0.81961,                0.78356,                0.84318,                0.48521,                 1.3429,                0.74335,                 1.6544,                 1.5272,                0.82875,                 1.6066,              0.0006106,              0.0006106,              0.0006106
                     62,                0.78974,                0.65519,                 1.2844,                0.96006,                0.71465,                 1.2778,                0.87091,                0.76274,                0.84952,                0.48364,                 1.3714,                0.75454,                 1.6423,                  1.522,                0.84567,                 1.5788,               0.000604,               0.000604,               0.000604
                     63,                0.81202,                0.66248,                 1.2784,                0.98984,                0.73468,                 1.2675,                0.85731,                 0.7728,                0.83644,                0.48206,                 1.3508,                0.72289,                 1.6476,                 1.5053,                0.87401,                 1.5626,              0.0005974,              0.0005974,              0.0005974
                     64,                0.82059,                 0.6627,                 1.2827,                 1.0037,                0.73689,                  1.274,                0.85694,                0.79567,                 0.8465,                0.48086,                  1.331,                0.74235,                 1.6197,                 1.5054,                0.82872,                 1.5518,              0.0005908,              0.0005908,              0.0005908
                     65,                0.77292,                0.64799,                 1.2642,                0.95929,                0.71509,                 1.2578,                0.85012,                0.79035,                0.84215,                0.47841,                 1.3605,                0.72649,                 1.6633,                 1.5575,                0.80985,                 1.6088,              0.0005842,              0.0005842,              0.0005842
