epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.4689,0.17958,0.47557,1.01133,0.91229,0.83609,0.89728,0.53386,0.876,0.7322,1.70744,0.000323529,0.000323529,0.000323529
2,138.252,0.12539,0.34051,0.89878,0.91534,0.84679,0.90094,0.55406,0.85076,0.70178,1.70934,0.000654695,0.000654695,0.000654695
3,204.322,0.13098,0.33685,0.8954,0.93179,0.82715,0.89883,0.55727,0.84526,0.68331,1.72009,0.000983661,0.000983661,0.000983661
4,269.777,0.13583,0.33824,0.89785,0.90934,0.84567,0.90256,0.55271,0.85605,0.67825,1.71318,0.0009901,0.0009901,0.0009901
5,335.526,0.14032,0.34038,0.90145,0.90698,0.84439,0.89824,0.55126,0.84557,0.66069,1.71688,0.0009868,0.0009868,0.0009868
6,400.807,0.14296,0.34144,0.90148,0.87744,0.86368,0.88991,0.54798,0.85029,0.69784,1.7949,0.0009835,0.0009835,0.0009835
7,466.05,0.13957,0.33567,0.904,0.90141,0.83906,0.89816,0.56198,0.86734,0.66939,1.66293,0.0009802,0.0009802,0.0009802
8,531.369,0.13987,0.33168,0.89957,0.90114,0.84928,0.89636,0.54894,0.86156,0.67328,1.67942,0.0009769,0.0009769,0.0009769
9,596.422,0.15245,0.34371,0.90668,0.90377,0.84615,0.89387,0.54256,0.85544,0.66589,1.74188,0.0009736,0.0009736,0.0009736
10,661.67,0.14815,0.34005,0.90179,0.89819,0.82788,0.8859,0.54911,0.85324,0.68542,1.83429,0.0009703,0.0009703,0.0009703
11,726.91,0.14784,0.33454,0.89856,0.91339,0.83791,0.90016,0.55539,0.78588,0.63251,1.67792,0.000967,0.000967,0.000967
12,792.255,0.14759,0.33867,0.8999,0.92864,0.82144,0.89248,0.55031,0.79757,0.62996,1.62773,0.0009637,0.0009637,0.0009637
13,857.271,0.14517,0.33456,0.89721,0.91912,0.83336,0.89907,0.55585,0.85138,0.66456,1.6455,0.0009604,0.0009604,0.0009604
14,922.421,0.15043,0.33557,0.89962,0.92146,0.82938,0.89552,0.54812,0.88422,0.69782,1.79303,0.0009571,0.0009571,0.0009571
15,987.975,0.15481,0.34351,0.90004,0.89354,0.83933,0.89859,0.54993,0.90212,0.71187,1.70038,0.0009538,0.0009538,0.0009538
16,1053.31,0.14822,0.33223,0.89971,0.90277,0.8418,0.88986,0.54651,0.90224,0.7331,1.72657,0.0009505,0.0009505,0.0009505
17,1118.95,0.14376,0.3285,0.89123,0.90305,0.83954,0.89273,0.55158,0.86453,0.722,1.77302,0.0009472,0.0009472,0.0009472
18,1184.22,0.14812,0.32603,0.90031,0.89198,0.84427,0.8975,0.55082,0.88694,0.72762,1.72851,0.0009439,0.0009439,0.0009439
19,1249.66,0.15441,0.3345,0.89946,0.93541,0.83316,0.90068,0.5521,0.82578,0.6884,1.63957,0.0009406,0.0009406,0.0009406
20,1315.09,0.14954,0.33085,0.89998,0.87525,0.863,0.89539,0.54587,0.80878,0.66202,1.59251,0.0009373,0.0009373,0.0009373
21,1380.33,0.15069,0.3327,0.89526,0.90426,0.81716,0.88033,0.53938,0.87006,0.73175,1.635,0.000934,0.000934,0.000934
22,1445.91,0.15012,0.33064,0.89752,0.89486,0.82867,0.88796,0.54534,0.86786,0.73563,1.76967,0.0009307,0.0009307,0.0009307
23,1511.2,0.15873,0.34062,0.89966,0.87654,0.8685,0.89519,0.54399,0.84348,0.68965,1.73881,0.0009274,0.0009274,0.0009274
24,1576.42,0.14776,0.32897,0.89355,0.88408,0.84533,0.89301,0.53852,0.93355,0.72931,1.76207,0.0009241,0.0009241,0.0009241
25,1641.64,0.15353,0.33036,0.89529,0.92406,0.83388,0.89675,0.55249,0.87686,0.69183,1.67606,0.0009208,0.0009208,0.0009208
26,1706.91,0.15355,0.329,0.89976,0.88669,0.86748,0.89147,0.55139,0.89837,0.67728,1.70681,0.0009175,0.0009175,0.0009175
27,1772.19,0.15659,0.33275,0.90099,0.87389,0.85422,0.88989,0.54856,0.87268,0.69342,1.67205,0.0009142,0.0009142,0.0009142
28,1837.73,0.15553,0.33193,0.89564,0.89965,0.81877,0.88595,0.55,0.8344,0.64612,1.69689,0.0009109,0.0009109,0.0009109
29,1903.04,0.14787,0.32024,0.89202,0.89579,0.82873,0.89131,0.55723,0.83379,0.64731,1.66975,0.0009076,0.0009076,0.0009076
30,1968.17,0.15023,0.32303,0.89742,0.88378,0.82721,0.88408,0.55434,0.83622,0.67457,1.71637,0.0009043,0.0009043,0.0009043
31,2033.41,0.16425,0.33501,0.90356,0.87421,0.84578,0.89733,0.56004,0.83814,0.6675,1.73831,0.000901,0.000901,0.000901
32,2098.55,0.15235,0.32527,0.89563,0.91429,0.84052,0.90589,0.57047,0.85066,0.65287,1.73165,0.0008977,0.0008977,0.0008977
33,2163.99,0.15396,0.32468,0.89562,0.88871,0.84016,0.89403,0.55737,0.86196,0.64369,1.72638,0.0008944,0.0008944,0.0008944
34,2229.14,0.15445,0.3275,0.89921,0.88403,0.85715,0.90319,0.55032,0.90147,0.68204,1.73668,0.0008911,0.0008911,0.0008911
35,2294.69,0.16407,0.33646,0.89576,0.8993,0.81766,0.89378,0.55671,0.88144,0.65645,1.72118,0.0008878,0.0008878,0.0008878
36,2360.34,0.15466,0.32749,0.89587,0.90391,0.82625,0.89418,0.55138,0.85741,0.65754,1.68162,0.0008845,0.0008845,0.0008845
37,2425.63,0.15492,0.3252,0.89415,0.89232,0.8497,0.89629,0.55202,0.84658,0.66096,1.63791,0.0008812,0.0008812,0.0008812
38,2491,0.15686,0.32654,0.89334,0.90582,0.85229,0.89462,0.55316,0.8606,0.66745,1.64092,0.0008779,0.0008779,0.0008779
39,2556.3,0.15992,0.33011,0.89806,0.90256,0.83774,0.89094,0.54644,0.89073,0.6402,1.66621,0.0008746,0.0008746,0.0008746
40,2621.55,0.15813,0.32872,0.8947,0.91515,0.83441,0.89967,0.55075,0.94818,0.67502,1.72756,0.0008713,0.0008713,0.0008713
41,2686.79,0.15876,0.32644,0.89517,0.9298,0.83352,0.91008,0.55887,0.86694,0.64479,1.70154,0.000868,0.000868,0.000868
42,2752.56,0.15646,0.32103,0.89636,0.91867,0.83174,0.89565,0.55152,0.87969,0.6994,1.68911,0.0008647,0.0008647,0.0008647
43,2817.8,0.14912,0.31756,0.89031,0.92506,0.81239,0.89459,0.54757,0.9244,0.67585,1.69985,0.0008614,0.0008614,0.0008614
