               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,              1.6332,             0.91768,              1.6647,             0.91446,             0.82388,             0.89079,             0.54648,                   0,                   0,                   0,             0.00571,             0.00571,             0.00571
                  41,               1.613,             0.91626,              1.6546,             0.88135,             0.83928,             0.88757,             0.54545,                   0,                   0,                   0,              0.0056,              0.0056,              0.0056
                  42,              1.6094,             0.89714,              1.6489,             0.90089,             0.83269,             0.88965,             0.54669,                   0,                   0,                   0,             0.00549,             0.00549,             0.00549
                  43,              1.6209,             0.89831,              1.6475,             0.90604,             0.83124,             0.89166,             0.54707,                   0,                   0,                   0,             0.00538,             0.00538,             0.00538
                  44,              1.6239,             0.91918,               1.642,             0.91153,             0.84521,             0.90327,             0.55894,                   0,                   0,                   0,             0.00527,             0.00527,             0.00527
                  45,              1.6256,             0.91626,              1.6339,             0.90934,             0.84517,             0.89338,             0.55065,                   0,                   0,                   0,             0.00516,             0.00516,             0.00516
                  46,              1.6236,             0.91515,              1.6443,              0.9029,             0.84441,             0.89695,              0.5509,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  47,                 1.6,             0.88289,               1.625,             0.90575,             0.83618,             0.89559,             0.55197,                   0,                   0,                   0,             0.00494,             0.00494,             0.00494
                  48,              1.6075,             0.89182,              1.6237,              0.8843,             0.84945,             0.89287,             0.55912,                   0,                   0,                   0,             0.00483,             0.00483,             0.00483
                  49,              1.5858,             0.89146,              1.6362,             0.90249,             0.84284,             0.89811,             0.55198,                   0,                   0,                   0,             0.00472,             0.00472,             0.00472
                  50,              1.6171,             0.89251,              1.6432,             0.88636,              0.8552,             0.89665,               0.552,                   0,                   0,                   0,             0.00461,             0.00461,             0.00461
                  51,              1.6155,             0.89138,              1.6484,             0.88365,             0.84906,             0.89387,               0.557,                   0,                   0,                   0,              0.0045,              0.0045,              0.0045
                  52,              1.6002,             0.88549,              1.6401,             0.90867,             0.84479,             0.89844,             0.55666,                   0,                   0,                   0,             0.00439,             0.00439,             0.00439
                  53,              1.6082,             0.88036,              1.6351,             0.89883,             0.83443,             0.89236,             0.55985,                   0,                   0,                   0,             0.00428,             0.00428,             0.00428
                  54,               1.595,              0.8754,               1.646,             0.90134,             0.85302,             0.89944,             0.55609,                   0,                   0,                   0,             0.00417,             0.00417,             0.00417
                  55,              1.5817,             0.87151,               1.618,             0.90925,             0.84081,             0.90136,             0.55946,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  56,              1.5785,             0.86804,              1.6323,             0.90767,             0.84994,             0.89865,             0.56039,                   0,                   0,                   0,             0.00395,             0.00395,             0.00395
