epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7082,2.65148,2.88113,2.55315,0.00532,0.02668,0.00792,0.00156,3.93917,6.17224,2.73955,0.000323529,0.000323529,0.000323529
2,55.6611,0.86249,0.6543,1.0198,0.59175,0.22817,0.41855,0.23007,2.37594,5.04561,1.86456,0.000653611,0.000653611,0.000653611
3,79.7845,0.79667,0.53174,0.98467,0.52051,0.64318,0.65608,0.37,1.86699,3.14503,1.58084,0.000980393,0.000980393,0.000980393
4,104.179,0.79225,0.50008,0.98582,0.84593,0.73629,0.83696,0.46875,1.76427,1.44598,1.50409,0.00098515,0.00098515,0.00098515
5,128.618,0.79353,0.48656,0.98464,0.88727,0.82103,0.88323,0.50328,1.67104,0.86008,1.47907,0.0009802,0.0009802,0.0009802
6,153.184,0.78839,0.48081,0.98372,0.89233,0.81238,0.87988,0.51893,1.6235,0.79642,1.50659,0.00097525,0.00097525,0.00097525
7,177.99,0.78044,0.47129,0.98738,0.87569,0.83304,0.86771,0.50346,1.69435,0.72496,1.57343,0.0009703,0.0009703,0.0009703
8,202.665,0.78036,0.46437,0.98078,0.91412,0.82578,0.88825,0.5214,1.57178,0.69646,1.48229,0.00096535,0.00096535,0.00096535
9,227.976,0.79296,0.47228,0.98651,0.90347,0.80329,0.86827,0.50369,1.66648,0.71124,1.57878,0.0009604,0.0009604,0.0009604
10,252.92,0.79457,0.4667,0.98855,0.8917,0.82859,0.87158,0.50554,1.69766,0.77526,1.65167,0.00095545,0.00095545,0.00095545
11,277.931,0.77791,0.45603,0.97664,0.92374,0.80428,0.87985,0.52095,1.59236,0.69816,1.54247,0.0009505,0.0009505,0.0009505
12,303.06,0.78205,0.45676,0.98171,0.89168,0.82254,0.86532,0.51266,1.65266,0.71542,1.60813,0.00094555,0.00094555,0.00094555
13,328.137,0.75801,0.44713,0.97459,0.88608,0.82058,0.88532,0.52301,1.63511,0.67995,1.56391,0.0009406,0.0009406,0.0009406
14,353.207,0.76814,0.44573,0.97865,0.8973,0.82833,0.89163,0.52279,1.56239,0.69525,1.4894,0.00093565,0.00093565,0.00093565
15,378.652,0.77045,0.45427,0.97213,0.92289,0.82398,0.89256,0.5287,1.59917,0.7067,1.57155,0.0009307,0.0009307,0.0009307
16,403.973,0.75705,0.43599,0.97117,0.8955,0.8278,0.88635,0.52632,1.57208,0.68528,1.54387,0.00092575,0.00092575,0.00092575
17,429.171,0.75605,0.43277,0.96747,0.9024,0.82158,0.88565,0.52661,1.68621,0.68935,1.65279,0.0009208,0.0009208,0.0009208
18,454.287,0.73816,0.41951,0.96621,0.87972,0.84671,0.88419,0.53549,1.56694,0.6848,1.53839,0.00091585,0.00091585,0.00091585
19,479.396,0.73617,0.42661,0.95932,0.89977,0.81559,0.88299,0.53035,1.55543,0.68181,1.55622,0.0009109,0.0009109,0.0009109
20,504.479,0.7383,0.42438,0.96636,0.91253,0.81359,0.88551,0.5201,1.61102,0.68544,1.57809,0.00090595,0.00090595,0.00090595
21,529.634,0.72778,0.42002,0.95761,0.87971,0.83207,0.88459,0.53015,1.59849,0.66926,1.56304,0.000901,0.000901,0.000901
22,554.845,0.72032,0.41425,0.95724,0.90059,0.83394,0.89588,0.53801,1.61586,0.68636,1.58201,0.00089605,0.00089605,0.00089605
23,580.331,0.73857,0.4227,0.954,0.9278,0.83682,0.89536,0.53045,1.63138,0.66609,1.58213,0.0008911,0.0008911,0.0008911
24,605.378,0.71159,0.41105,0.95502,0.88931,0.83411,0.87983,0.52087,1.67259,0.70922,1.63416,0.00088615,0.00088615,0.00088615
25,630.58,0.71823,0.41039,0.95517,0.90158,0.83513,0.88466,0.53396,1.63491,0.69502,1.57471,0.0008812,0.0008812,0.0008812
26,655.71,0.72085,0.40898,0.96057,0.91425,0.82399,0.89079,0.53157,1.632,0.6922,1.55774,0.00087625,0.00087625,0.00087625
27,680.808,0.72178,0.41021,0.95852,0.89749,0.79995,0.87693,0.531,1.64062,0.70631,1.59131,0.0008713,0.0008713,0.0008713
28,706.041,0.71975,0.41264,0.95225,0.90184,0.81305,0.87206,0.51993,1.60283,0.72912,1.5539,0.00086635,0.00086635,0.00086635
29,731.161,0.71371,0.40235,0.95324,0.89282,0.83563,0.88574,0.53934,1.54418,0.65637,1.48254,0.0008614,0.0008614,0.0008614
30,756.292,0.6981,0.40442,0.95227,0.91003,0.81041,0.87696,0.5253,1.61342,0.72131,1.56116,0.00085645,0.00085645,0.00085645
31,781.503,0.72274,0.41084,0.95597,0.92296,0.83839,0.89444,0.52957,1.56516,0.68074,1.56111,0.0008515,0.0008515,0.0008515
32,806.682,0.70079,0.40027,0.94898,0.90438,0.8474,0.89705,0.53971,1.51609,0.68603,1.46457,0.00084655,0.00084655,0.00084655
33,832.047,0.70635,0.40481,0.95255,0.87471,0.84942,0.89412,0.52943,1.55306,0.66465,1.52058,0.0008416,0.0008416,0.0008416
34,857.172,0.70309,0.40534,0.95333,0.90962,0.84235,0.88163,0.53581,1.57532,0.73007,1.53531,0.00083665,0.00083665,0.00083665
35,882.375,0.71717,0.40848,0.94865,0.89025,0.84505,0.88005,0.52832,1.61018,0.67122,1.55487,0.0008317,0.0008317,0.0008317
36,907.527,0.69778,0.39907,0.95018,0.90322,0.83619,0.88521,0.54213,1.54611,0.67021,1.54369,0.00082675,0.00082675,0.00082675
37,932.629,0.6871,0.39074,0.94744,0.88399,0.8456,0.88658,0.53337,1.50596,0.68615,1.48563,0.0008218,0.0008218,0.0008218
38,957.863,0.69573,0.40163,0.94805,0.90217,0.84044,0.88124,0.53358,1.56467,0.70464,1.58688,0.00081685,0.00081685,0.00081685
39,982.981,0.69437,0.40068,0.95317,0.91164,0.84829,0.8917,0.53237,1.57719,0.64379,1.61252,0.0008119,0.0008119,0.0008119
40,1008.15,0.68834,0.39665,0.94727,0.88098,0.85303,0.88634,0.54074,1.5947,0.64436,1.64516,0.00080695,0.00080695,0.00080695
41,1033.2,0.68547,0.39148,0.94683,0.89466,0.84933,0.88414,0.53666,1.56769,0.67235,1.5698,0.000802,0.000802,0.000802
42,1058.25,0.67479,0.38535,0.94212,0.9166,0.83819,0.88659,0.53188,1.5179,0.65142,1.52588,0.00079705,0.00079705,0.00079705
43,1083.45,0.66847,0.3809,0.94098,0.89787,0.86191,0.89997,0.54565,1.56127,0.6628,1.65257,0.0007921,0.0007921,0.0007921
44,1108.76,0.68445,0.39172,0.9481,0.90023,0.84207,0.88351,0.53655,1.6244,0.69844,1.64531,0.00078715,0.00078715,0.00078715
45,1133.82,0.67515,0.38494,0.94246,0.91229,0.83371,0.89074,0.53262,1.60023,0.67429,1.62969,0.0007822,0.0007822,0.0007822
46,1158.95,0.67039,0.38047,0.93722,0.91309,0.84806,0.89178,0.5397,1.48781,0.61437,1.54113,0.00077725,0.00077725,0.00077725
47,1183.92,0.67475,0.3842,0.94432,0.92168,0.83809,0.89255,0.53203,1.52962,0.62768,1.55015,0.0007723,0.0007723,0.0007723
48,1209.02,0.65877,0.37709,0.93669,0.91987,0.85459,0.90366,0.54348,1.59989,0.63383,1.6262,0.00076735,0.00076735,0.00076735
49,1234.33,0.67108,0.38081,0.94222,0.9336,0.83695,0.90212,0.54337,1.58102,0.65936,1.57957,0.0007624,0.0007624,0.0007624
50,1259.48,0.66706,0.37904,0.93977,0.90238,0.84657,0.89109,0.5293,1.60739,0.66879,1.65377,0.00075745,0.00075745,0.00075745
51,1284.59,0.65983,0.37225,0.93822,0.90597,0.83865,0.88752,0.52664,1.5882,0.67175,1.63246,0.0007525,0.0007525,0.0007525
52,1309.71,0.6493,0.36858,0.93541,0.91622,0.83837,0.89597,0.53736,1.55347,0.65116,1.62725,0.00074755,0.00074755,0.00074755
53,1334.78,0.65685,0.37333,0.93717,0.9041,0.85106,0.89189,0.53582,1.61468,0.65656,1.66733,0.0007426,0.0007426,0.0007426
54,1359.81,0.65991,0.37251,0.94082,0.88942,0.84865,0.88457,0.53757,1.57832,0.63178,1.59229,0.00073765,0.00073765,0.00073765
55,1384.96,0.65634,0.37625,0.9398,0.91907,0.84665,0.89924,0.5462,1.52706,0.65181,1.59412,0.0007327,0.0007327,0.0007327
56,1410.15,0.65213,0.37379,0.93253,0.90645,0.86047,0.89865,0.53992,1.55432,0.66332,1.63503,0.00072775,0.00072775,0.00072775
57,1435.23,0.64758,0.36913,0.93321,0.89952,0.8612,0.8981,0.5409,1.55979,0.65119,1.61275,0.0007228,0.0007228,0.0007228
58,1460.4,0.63839,0.36461,0.92572,0.92724,0.83249,0.90317,0.54385,1.56785,0.64798,1.63386,0.00071785,0.00071785,0.00071785
59,1485.64,0.63534,0.36007,0.92585,0.89963,0.84482,0.89653,0.54605,1.55717,0.64303,1.62769,0.0007129,0.0007129,0.0007129
60,1510.83,0.64173,0.36752,0.92551,0.9158,0.84033,0.88871,0.54642,1.56377,0.65078,1.60381,0.00070795,0.00070795,0.00070795
61,1536.03,0.63825,0.36535,0.92893,0.91548,0.84255,0.89493,0.55467,1.57241,0.65267,1.63446,0.000703,0.000703,0.000703
62,1561.13,0.64535,0.36601,0.92899,0.89939,0.83073,0.88638,0.54665,1.6151,0.66553,1.73563,0.00069805,0.00069805,0.00069805
63,1586.16,0.63175,0.35935,0.9285,0.93068,0.82969,0.89452,0.54336,1.62136,0.66081,1.71485,0.0006931,0.0006931,0.0006931
64,1611.29,0.62379,0.35497,0.92264,0.9069,0.85429,0.90633,0.55053,1.55289,0.67563,1.61791,0.00068815,0.00068815,0.00068815
65,1636.75,0.62394,0.35442,0.92365,0.91109,0.86324,0.90118,0.54963,1.54417,0.65604,1.59902,0.0006832,0.0006832,0.0006832
66,1661.88,0.6196,0.35507,0.92555,0.90414,0.81702,0.89129,0.5496,1.51735,0.63188,1.6057,0.00067825,0.00067825,0.00067825
67,1687.05,0.624,0.35783,0.9266,0.91953,0.8465,0.90238,0.54709,1.55068,0.64788,1.63044,0.0006733,0.0006733,0.0006733
68,1712.22,0.61925,0.35801,0.92284,0.89267,0.8693,0.89697,0.55587,1.48513,0.61959,1.53546,0.00066835,0.00066835,0.00066835
69,1737.38,0.6307,0.3581,0.92245,0.89449,0.85485,0.89113,0.54211,1.53704,0.64706,1.60218,0.0006634,0.0006634,0.0006634
70,1762.49,0.62699,0.3588,0.92238,0.89298,0.85696,0.89678,0.56097,1.55608,0.64095,1.63244,0.00065845,0.00065845,0.00065845
71,1787.65,0.61543,0.35035,0.91742,0.90256,0.85533,0.90198,0.55254,1.56227,0.6542,1.62571,0.0006535,0.0006535,0.0006535
72,1812.76,0.61104,0.34484,0.92016,0.88363,0.86101,0.89624,0.54825,1.58408,0.67102,1.60561,0.00064855,0.00064855,0.00064855
73,1837.98,0.60982,0.34791,0.92025,0.88912,0.8484,0.89323,0.54583,1.56033,0.67097,1.63256,0.0006436,0.0006436,0.0006436
74,1863.12,0.6078,0.34877,0.91841,0.9062,0.85695,0.9029,0.5504,1.55609,0.65098,1.62979,0.00063865,0.00063865,0.00063865
75,1888.2,0.60991,0.35031,0.92442,0.89862,0.85569,0.8918,0.54701,1.56088,0.66244,1.67803,0.0006337,0.0006337,0.0006337
76,1913.32,0.61376,0.35009,0.91713,0.87794,0.85309,0.88988,0.5453,1.56715,0.66104,1.64935,0.00062875,0.00062875,0.00062875
77,1938.41,0.59732,0.34204,0.91298,0.89641,0.86723,0.90087,0.54816,1.53835,0.64341,1.65599,0.0006238,0.0006238,0.0006238
78,1963.52,0.59883,0.33881,0.91607,0.89717,0.85293,0.89092,0.55415,1.51814,0.63712,1.62536,0.00061885,0.00061885,0.00061885
79,1988.63,0.60345,0.34336,0.91913,0.90383,0.84108,0.8885,0.54702,1.58639,0.65151,1.62225,0.0006139,0.0006139,0.0006139
80,2013.82,0.59126,0.3408,0.9103,0.91132,0.85021,0.89413,0.54868,1.57454,0.6698,1.6492,0.00060895,0.00060895,0.00060895
81,2038.98,0.59609,0.34187,0.91699,0.89045,0.8489,0.89329,0.55582,1.53845,0.65061,1.59939,0.000604,0.000604,0.000604
82,2064.11,0.60273,0.34923,0.91947,0.91351,0.83078,0.89367,0.54944,1.56487,0.66048,1.67064,0.00059905,0.00059905,0.00059905
83,2089.29,0.59707,0.34268,0.91997,0.90988,0.83767,0.89107,0.55353,1.58851,0.6584,1.70402,0.0005941,0.0005941,0.0005941
84,2114.57,0.60062,0.34263,0.91005,0.92113,0.82823,0.889,0.55693,1.5734,0.65225,1.65546,0.00058915,0.00058915,0.00058915
85,2139.74,0.59584,0.34097,0.9116,0.92679,0.83464,0.89712,0.55319,1.55728,0.64554,1.68443,0.0005842,0.0005842,0.0005842
86,2164.83,0.59568,0.34014,0.91212,0.91312,0.84183,0.89627,0.56036,1.57705,0.6481,1.69726,0.00057925,0.00057925,0.00057925
87,2189.99,0.57751,0.33369,0.9046,0.88679,0.85335,0.89535,0.55495,1.58989,0.6462,1.70843,0.0005743,0.0005743,0.0005743
88,2215.09,0.58917,0.33922,0.91355,0.91549,0.84379,0.90445,0.55787,1.61112,0.63961,1.71563,0.00056935,0.00056935,0.00056935
89,2240.2,0.58393,0.33525,0.90322,0.906,0.85454,0.90055,0.55686,1.55698,0.64045,1.71552,0.0005644,0.0005644,0.0005644
90,2265.27,0.57639,0.3308,0.9084,0.88993,0.85228,0.89829,0.55915,1.54877,0.66965,1.68118,0.00055945,0.00055945,0.00055945
91,2290.47,0.5866,0.33557,0.90826,0.92015,0.83241,0.89746,0.55432,1.54969,0.66419,1.68611,0.0005545,0.0005545,0.0005545
92,2315.57,0.5733,0.32886,0.90487,0.89153,0.85529,0.89405,0.55167,1.55902,0.66137,1.67729,0.00054955,0.00054955,0.00054955
93,2340.76,0.58367,0.33227,0.91187,0.92834,0.81472,0.89455,0.55617,1.61521,0.67295,1.73288,0.0005446,0.0005446,0.0005446
94,2365.95,0.56904,0.32917,0.90261,0.88788,0.83615,0.88125,0.55607,1.56504,0.64498,1.70102,0.00053965,0.00053965,0.00053965
95,2391.12,0.57915,0.33476,0.91004,0.92083,0.83728,0.89705,0.55553,1.56233,0.67987,1.65347,0.0005347,0.0005347,0.0005347
96,2416.28,0.57024,0.32755,0.9024,0.89893,0.84628,0.90057,0.55715,1.58468,0.66977,1.68033,0.00052975,0.00052975,0.00052975
97,2441.49,0.5683,0.32472,0.9023,0.91816,0.84865,0.90065,0.55118,1.54653,0.65799,1.60003,0.0005248,0.0005248,0.0005248
98,2466.64,0.56921,0.32838,0.89875,0.91981,0.82986,0.8932,0.55368,1.56649,0.62404,1.67096,0.00051985,0.00051985,0.00051985
99,2491.65,0.56393,0.3241,0.90615,0.93717,0.83572,0.90483,0.56098,1.5766,0.62668,1.6608,0.0005149,0.0005149,0.0005149
