                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.98807,                0.80406,                 1.3991,                 1.1834,                0.92463,                 1.3645,                0.83968,                0.72395,                0.81753,                0.45826,                 1.3548,                0.82085,                 1.6665,                 1.4907,                0.94301,                 1.5838,              0.0008548,              0.0008548,              0.0008548
                     25,                0.96891,                0.79789,                 1.4026,                 1.1313,                0.90658,                 1.3766,                0.81659,                0.77179,                0.81919,                0.46067,                 1.3434,                0.82804,                 1.6412,                 1.4998,                0.93397,                 1.5639,              0.0008482,              0.0008482,              0.0008482
                     26,                0.95992,                0.79977,                 1.3946,                 1.1291,                0.92388,                 1.3709,                0.82478,                0.73933,                 0.8147,                0.45963,                 1.3335,                0.83069,                 1.6408,                  1.589,                0.94348,                 1.6048,              0.0008416,              0.0008416,              0.0008416
                     27,                0.96709,                 0.7956,                 1.4016,                  1.142,                 0.8956,                 1.3731,                0.87444,                0.74537,                0.83553,                0.47344,                 1.3147,                0.80147,                 1.6012,                 1.5018,                0.92539,                 1.5641,               0.000835,               0.000835,               0.000835
                     28,                0.96541,                0.79204,                 1.4029,                 1.1461,                0.90458,                 1.3737,                0.82983,                0.77053,                0.83689,                0.46756,                 1.3425,                0.80351,                 1.6323,                 1.5567,                0.91007,                  1.605,              0.0008284,              0.0008284,              0.0008284
                     29,                0.97042,                0.79775,                 1.3873,                 1.1504,                  0.919,                 1.3541,                0.83666,                0.75167,                0.82348,                0.46007,                 1.3383,                0.81864,                 1.6511,                 1.5883,                 0.8944,                 1.6018,              0.0008218,              0.0008218,              0.0008218
                     30,                0.92415,                0.77216,                 1.3898,                 1.0936,                0.87038,                 1.3634,                0.82927,                0.76764,                0.82509,                0.46909,                 1.3273,                 0.8052,                 1.6199,                 1.4763,                0.88536,                 1.5487,              0.0008152,              0.0008152,              0.0008152
                     31,                0.93297,                0.77401,                 1.3827,                 1.1107,                0.88536,                 1.3662,                0.85139,                0.75264,                0.83242,                0.46479,                 1.3496,                0.83032,                 1.6629,                 1.5167,                0.86861,                 1.5668,              0.0008086,              0.0008086,              0.0008086
                     32,                0.94223,                0.77328,                 1.3921,                 1.1128,                0.88091,                 1.3712,                0.84013,                  0.766,                0.84442,                0.48604,                 1.3189,                0.80216,                 1.6425,                 1.4391,                0.92367,                  1.552,               0.000802,               0.000802,               0.000802
                     33,                0.92668,                0.76407,                 1.3741,                 1.0954,                 0.8521,                  1.355,                0.89128,                0.74765,                0.83764,                0.46441,                 1.3288,                0.79844,                 1.6358,                 1.5186,                0.89042,                 1.5615,              0.0007954,              0.0007954,              0.0007954
                     34,                0.89838,                0.74739,                  1.352,                 1.0789,                0.83301,                 1.3373,                0.83875,                0.77985,                0.83804,                0.47289,                 1.3171,                0.76393,                 1.6332,                 1.4901,                0.87796,                 1.5696,              0.0007888,              0.0007888,              0.0007888
                     35,                0.91774,                0.73408,                 1.3505,                  1.104,                0.82107,                 1.3299,                0.85182,                 0.7537,                 0.8283,                0.46435,                 1.3412,                0.76902,                 1.6235,                 1.5112,                0.86248,                 1.5597,              0.0007822,              0.0007822,              0.0007822
                     36,                0.92903,                0.75552,                  1.361,                 1.1174,                0.84908,                 1.3432,                0.83838,                0.77387,                0.83682,                0.47412,                 1.3576,                0.77769,                 1.6243,                 1.5324,                0.88065,                 1.5632,              0.0007756,              0.0007756,              0.0007756
                     37,                0.91068,                0.74608,                 1.3688,                 1.0864,                0.83401,                 1.3471,                0.83293,                0.78553,                 0.8379,                0.47334,                 1.2983,                0.78153,                 1.5904,                 1.4793,                 0.8612,                  1.542,               0.000769,               0.000769,               0.000769
                     38,                0.89801,                0.74403,                 1.3487,                 1.0908,                0.82918,                 1.3348,                0.86875,                 0.7627,                0.83916,                0.47176,                 1.3373,                0.79703,                 1.6067,                 1.5002,                0.88263,                 1.5552,              0.0007624,              0.0007624,              0.0007624
                     39,                0.90296,                0.73972,                 1.3514,                 1.0837,                0.82606,                 1.3339,                0.83728,                0.77807,                0.83505,                0.47307,                 1.3645,                0.77769,                 1.6383,                 1.5314,                0.89547,                 1.5718,              0.0007558,              0.0007558,              0.0007558
                     40,                0.91698,                0.73814,                 1.3506,                 1.1029,                0.81595,                 1.3317,                0.83914,                0.78251,                0.83448,                0.45445,                 1.3682,                0.79563,                 1.6445,                 1.5539,                0.87106,                 1.5912,              0.0007492,              0.0007492,              0.0007492
                     41,                0.89972,                0.73968,                  1.335,                 1.1029,                0.82676,                 1.3179,                0.87872,                0.75386,                0.83289,                0.47666,                 1.3039,                0.80072,                 1.5952,                  1.503,                0.91063,                 1.5588,              0.0007426,              0.0007426,              0.0007426
                     42,                0.87325,                 0.7328,                 1.3353,                 1.0604,                0.82583,                 1.3238,                 0.8217,                0.77692,                0.83226,                0.47161,                  1.298,                 0.7732,                 1.6065,                 1.4557,                0.83419,                  1.544,               0.000736,               0.000736,               0.000736
                     43,                0.86865,                0.71763,                  1.345,                 1.0463,                0.79893,                 1.3265,                0.87529,                0.75903,                  0.836,                0.47591,                  1.331,                0.75925,                 1.6176,                 1.5064,                0.87638,                 1.5634,              0.0007294,              0.0007294,              0.0007294
                     44,                0.85511,                0.71356,                 1.3298,                 1.0331,                0.78158,                 1.3174,                 0.8783,                0.77634,                0.83045,                0.47501,                  1.389,                0.78351,                 1.6573,                 1.5093,                0.90098,                  1.582,              0.0007228,              0.0007228,              0.0007228
