                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.5997,                 1.1814,                 1.6938,                  1.685,                 1.4749,                 1.5972,                0.76071,                0.60954,                0.71626,                0.37063,                 1.7883,                 1.1526,                 1.8075,                  1.908,                 1.3391,                 1.7031,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.5836,                 1.1655,                 1.6873,                 1.6775,                 1.4528,                 1.6012,                0.73576,                0.64098,                0.71971,                0.38762,                 1.8177,                  1.177,                 1.8107,                 1.9565,                 1.4251,                 1.7376,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.5696,                 1.1316,                 1.6524,                  1.668,                  1.427,                 1.5662,                0.72894,                0.67365,                0.73069,                0.38835,                 1.7875,                 1.1226,                 1.7964,                 1.8652,                 1.3805,                 1.6553,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.5544,                 1.1306,                  1.651,                 1.6506,                 1.4088,                 1.5707,                0.74761,                0.66211,                 0.7343,                0.39666,                 1.7226,                 1.1292,                 1.7291,                 1.8051,                 1.3169,                 1.6362,              0.0007624,              0.0007624,              0.0007624
                     27,                 1.5534,                  1.117,                  1.658,                 1.6561,                 1.3751,                 1.5751,                0.79083,                0.64003,                0.74283,                0.40175,                 1.8789,                 1.1508,                 1.8117,                 1.8883,                 1.2533,                 1.6936,              0.0007525,              0.0007525,              0.0007525
                     28,                 1.5211,                  1.079,                 1.6154,                 1.6276,                 1.3405,                  1.553,                0.78593,                0.63521,                0.73605,                0.40138,                 1.7467,                 1.1298,                 1.7632,                 1.8737,                 1.3648,                  1.642,              0.0007426,              0.0007426,              0.0007426
                     29,                 1.5424,                 1.0943,                 1.6417,                 1.6418,                 1.3471,                 1.5693,                0.76063,                0.66983,                0.74088,                0.40553,                 1.7488,                 1.0635,                 1.7576,                 1.7856,                 1.2575,                  1.616,              0.0007327,              0.0007327,              0.0007327
                     30,                 1.5279,                 1.0691,                  1.634,                 1.6259,                 1.3211,                 1.5609,                0.78816,                0.67674,                0.76135,                0.41294,                 1.7184,                 1.0957,                 1.7395,                 1.8035,                 1.2773,                 1.6195,              0.0007228,              0.0007228,              0.0007228
                     31,                 1.5233,                 1.0611,                 1.6202,                 1.6319,                 1.3121,                 1.5445,                0.75643,                0.66484,                0.74489,                0.40879,                 1.7891,                 1.1023,                 1.8004,                 1.8685,                 1.2567,                 1.6451,              0.0007129,              0.0007129,              0.0007129
                     32,                 1.4893,                 1.0532,                 1.5972,                 1.5927,                  1.312,                 1.5254,                0.75424,                0.69222,                0.76303,                0.42052,                 1.7207,                 1.0098,                 1.7464,                 1.7759,                 1.2354,                 1.6257,               0.000703,               0.000703,               0.000703
                     33,                 1.5038,                 1.0435,                 1.5938,                 1.6169,                 1.2874,                 1.5197,                0.80832,                0.66222,                0.75827,                0.42204,                 1.7584,                 1.0242,                 1.7392,                 1.7778,                 1.1549,                 1.6006,              0.0006931,              0.0006931,              0.0006931
