epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.8366,2.56768,2.67907,2.44013,0.07492,0.09367,0.05648,0.02015,3.5741,5.65882,2.50297,0.000323529,0.000323529,0.000323529
2,57.1365,0.86522,0.65249,1.02168,0.46649,0.39505,0.48361,0.25862,2.08718,4.66827,1.68958,0.000653611,0.000653611,0.000653611
3,81.5786,0.79575,0.5356,0.98252,0.88535,0.55985,0.78026,0.45348,1.82239,2.45615,1.51085,0.000980393,0.000980393,0.000980393
4,106.293,0.79801,0.51285,0.98764,0.87396,0.79229,0.86123,0.50539,1.66537,1.07292,1.50732,0.00098515,0.00098515,0.00098515
5,131.129,0.80213,0.49545,0.99018,0.89829,0.83128,0.87494,0.5103,1.64096,0.77368,1.47468,0.0009802,0.0009802,0.0009802
6,156.081,0.78313,0.48197,0.98077,0.88448,0.83881,0.87982,0.52827,1.59768,0.69826,1.46945,0.00097525,0.00097525,0.00097525
7,181.217,0.77885,0.47276,0.98704,0.88904,0.82578,0.88292,0.52768,1.64673,0.7109,1.50326,0.0009703,0.0009703,0.0009703
8,206.336,0.78028,0.46478,0.98277,0.91793,0.82481,0.88293,0.53677,1.61256,0.71916,1.50434,0.00096535,0.00096535,0.00096535
9,231.879,0.79342,0.47489,0.98627,0.893,0.82522,0.88524,0.52124,1.66188,0.78383,1.60681,0.0009604,0.0009604,0.0009604
10,257.33,0.78576,0.4628,0.98019,0.91172,0.81956,0.88219,0.52135,1.67135,0.77348,1.61623,0.00095545,0.00095545,0.00095545
11,282.721,0.76882,0.45108,0.97244,0.89219,0.83127,0.88401,0.5218,1.65934,0.72017,1.60495,0.0009505,0.0009505,0.0009505
12,308.119,0.77848,0.46069,0.98033,0.86782,0.81779,0.86278,0.51391,1.61158,0.70977,1.55381,0.00094555,0.00094555,0.00094555
13,333.522,0.75327,0.44368,0.97149,0.90879,0.81221,0.87453,0.51496,1.63829,0.69044,1.57865,0.0009406,0.0009406,0.0009406
14,359.018,0.76688,0.44816,0.9746,0.88483,0.81368,0.88056,0.52693,1.59673,0.71555,1.51199,0.00093565,0.00093565,0.00093565
15,384.429,0.77545,0.45113,0.97443,0.91241,0.80635,0.88166,0.52721,1.60394,0.70966,1.49697,0.0009307,0.0009307,0.0009307
16,409.868,0.75575,0.43687,0.96832,0.91863,0.82251,0.89125,0.52677,1.58825,0.66283,1.50304,0.00092575,0.00092575,0.00092575
17,435.309,0.7557,0.43766,0.96468,0.89211,0.8288,0.88757,0.5358,1.59547,0.67889,1.53457,0.0009208,0.0009208,0.0009208
18,460.714,0.74159,0.42609,0.9666,0.91236,0.8425,0.88002,0.53591,1.53594,0.66569,1.5052,0.00091585,0.00091585,0.00091585
19,486.091,0.7403,0.42812,0.96169,0.91281,0.83234,0.88367,0.53837,1.55806,0.74935,1.49156,0.0009109,0.0009109,0.0009109
20,511.794,0.72714,0.42677,0.96166,0.90276,0.83155,0.888,0.53373,1.56684,0.66685,1.46059,0.00090595,0.00090595,0.00090595
21,537.18,0.73313,0.42445,0.96032,0.90351,0.83627,0.89076,0.52675,1.59988,0.67586,1.51956,0.000901,0.000901,0.000901
22,562.636,0.72797,0.41812,0.95828,0.90808,0.85178,0.89934,0.53809,1.55315,0.632,1.51597,0.00089605,0.00089605,0.00089605
23,588.368,0.73845,0.42422,0.95405,0.87816,0.83757,0.88823,0.53345,1.61339,0.6964,1.54532,0.0008911,0.0008911,0.0008911
24,613.722,0.71451,0.4126,0.95387,0.89143,0.84985,0.8884,0.54015,1.61063,0.68829,1.59099,0.00088615,0.00088615,0.00088615
25,639.547,0.72077,0.40934,0.95379,0.9035,0.83698,0.88727,0.5305,1.5964,0.6831,1.53253,0.0008812,0.0008812,0.0008812
26,664.967,0.72106,0.40934,0.96049,0.90798,0.85762,0.88805,0.52613,1.6348,0.71913,1.592,0.00087625,0.00087625,0.00087625
27,690.367,0.71981,0.41397,0.9578,0.91051,0.82961,0.88616,0.53063,1.66226,0.68668,1.68375,0.0008713,0.0008713,0.0008713
28,715.871,0.71851,0.41549,0.95202,0.89925,0.84408,0.89136,0.53073,1.57457,0.69719,1.53473,0.00086635,0.00086635,0.00086635
29,741.251,0.71104,0.40806,0.95402,0.93071,0.82325,0.89911,0.54341,1.5529,0.68609,1.52617,0.0008614,0.0008614,0.0008614
30,766.851,0.70175,0.40592,0.95405,0.93302,0.82344,0.89321,0.52335,1.61853,0.67118,1.60977,0.00085645,0.00085645,0.00085645
31,792.399,0.71728,0.4112,0.9508,0.90769,0.84099,0.88939,0.52495,1.65635,0.71336,1.6323,0.0008515,0.0008515,0.0008515
32,817.787,0.70024,0.40627,0.94862,0.9288,0.82338,0.884,0.53181,1.61903,0.68999,1.54676,0.00084655,0.00084655,0.00084655
33,843.26,0.7075,0.40438,0.94929,0.93164,0.84533,0.90052,0.53051,1.6177,0.64724,1.56584,0.0008416,0.0008416,0.0008416
34,868.789,0.70487,0.4048,0.95307,0.92634,0.83816,0.90411,0.53771,1.59472,0.6822,1.56697,0.00083665,0.00083665,0.00083665
35,894.252,0.71262,0.41092,0.94454,0.87376,0.85364,0.88603,0.53567,1.62514,0.68237,1.57637,0.0008317,0.0008317,0.0008317
36,919.712,0.69632,0.40239,0.94909,0.89516,0.83852,0.8827,0.52367,1.63,0.69085,1.5684,0.00082675,0.00082675,0.00082675
37,945.24,0.68865,0.39411,0.94737,0.88192,0.86052,0.89235,0.53266,1.62095,0.69,1.58629,0.0008218,0.0008218,0.0008218
38,970.706,0.69394,0.39883,0.94745,0.92633,0.84298,0.88758,0.53573,1.62877,0.68571,1.64276,0.00081685,0.00081685,0.00081685
39,996.084,0.68985,0.40169,0.9515,0.9077,0.84785,0.88998,0.5428,1.61433,0.65063,1.60015,0.0008119,0.0008119,0.0008119
40,1021.53,0.68738,0.39883,0.94477,0.92174,0.83482,0.89618,0.54306,1.62527,0.70001,1.60933,0.00080695,0.00080695,0.00080695
41,1046.93,0.69059,0.39689,0.9474,0.92544,0.83343,0.89568,0.54511,1.59181,0.67503,1.53744,0.000802,0.000802,0.000802
42,1072.51,0.67435,0.38553,0.94253,0.91948,0.82613,0.89315,0.53992,1.60096,0.69228,1.57203,0.00079705,0.00079705,0.00079705
