                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.69325,                0.38956,                 0.9466,                 0.8832,                0.83279,                0.87382,                0.52808,                 1.5758,                0.69079,                 1.5767,             0.00082675,             0.00082675,             0.00082675
                     37,                0.69529,                0.39214,                0.95493,                0.90271,                0.82889,                0.88519,                0.53979,                 1.5513,                0.64512,                 1.5172,              0.0008218,              0.0008218,              0.0008218
                     38,                0.68367,                0.38591,                0.94048,                0.90839,                0.84343,                0.89269,                0.54121,                 1.5911,                0.66458,                 1.5724,             0.00081685,             0.00081685,             0.00081685
                     39,                0.66955,                0.37917,                0.93845,                0.92907,                0.83332,                0.89208,                0.53832,                 1.6588,                0.73737,                 1.5996,              0.0008119,              0.0008119,              0.0008119
                     40,                0.68545,                0.38727,                0.94636,                0.92029,                0.84059,                0.89857,                0.54172,                 1.6417,                0.68972,                 1.5374,             0.00080695,             0.00080695,             0.00080695
                     41,                0.68681,                0.39032,                  0.942,                0.92625,                0.84485,                 0.8989,                 0.5425,                 1.5529,                0.70352,                  1.492,               0.000802,               0.000802,               0.000802
                     42,                0.66979,                0.38103,                0.93951,                0.92674,                0.83863,                0.89568,                0.54506,                 1.5657,                 0.6507,                 1.5099,             0.00079705,             0.00079705,             0.00079705
                     43,                0.66612,                0.37849,                0.93586,                 0.9071,                0.84054,                0.88694,                0.53482,                 1.6059,                0.70287,                 1.5829,              0.0007921,              0.0007921,              0.0007921
                     44,                0.67568,                0.38292,                0.94706,                0.89082,                0.84342,                0.88427,                0.53479,                 1.6041,                0.72016,                 1.5835,             0.00078715,             0.00078715,             0.00078715
                     45,                0.66691,                0.38302,                0.93315,                0.89052,                0.85122,                0.89175,                0.53945,                 1.6329,                  0.704,                 1.6216,              0.0007822,              0.0007822,              0.0007822
                     46,                0.66552,                 0.3821,                0.94154,                0.90695,                0.83545,                  0.891,                0.53125,                 1.6353,                0.69517,                 1.5812,             0.00077725,             0.00077725,             0.00077725
                     47,                0.66664,                0.37862,                0.93926,                0.90249,                0.85107,                0.89956,                0.54439,                 1.6127,                0.67679,                  1.567,              0.0007723,              0.0007723,              0.0007723
                     48,                0.65601,                0.37499,                0.93211,                0.90195,                0.84627,                0.88842,                0.54353,                 1.5638,                0.67553,                 1.5448,             0.00076735,             0.00076735,             0.00076735
                     49,                0.67074,                0.37936,                0.94028,                0.89856,                0.83356,                0.88883,                0.53977,                 1.6118,                0.68448,                 1.6046,              0.0007624,              0.0007624,              0.0007624
                     50,                0.65576,                0.37323,                0.93115,                0.90917,                0.84697,                0.89493,                0.53848,                 1.5935,                0.67858,                 1.5896,             0.00075745,             0.00075745,             0.00075745
                     51,                0.64989,                0.37255,                0.92843,                0.90632,                0.83534,                0.88422,                0.53525,                  1.634,                0.66056,                 1.6036,              0.0007525,              0.0007525,              0.0007525
                     52,                0.63939,                0.36338,                0.93043,                0.88882,                0.85974,                0.88936,                0.54435,                 1.6547,                0.72742,                 1.6851,             0.00074755,             0.00074755,             0.00074755
                     53,                0.64628,                0.36836,                0.92568,                0.89437,                0.85331,                0.90192,                0.54611,                  1.602,                 0.6891,                 1.6132,              0.0007426,              0.0007426,              0.0007426
                     54,                0.64141,                0.36486,                0.92604,                0.90893,                0.84388,                0.89256,                0.53469,                  1.653,                0.67583,                 1.6344,             0.00073765,             0.00073765,             0.00073765
                     55,                0.63761,                0.36494,                0.92299,                0.91581,                0.83115,                0.88937,                0.54151,                 1.6608,                 0.7269,                 1.6308,              0.0007327,              0.0007327,              0.0007327
                     56,                0.64087,                0.36391,                 0.9259,                0.91605,                0.82872,                0.89088,                0.54179,                 1.6436,                0.69396,                 1.6367,             0.00072775,             0.00072775,             0.00072775
                     57,                0.64536,                0.37052,                0.93421,                0.90434,                 0.8525,                0.88874,                0.54003,                 1.6393,                0.66809,                 1.6483,              0.0007228,              0.0007228,              0.0007228
                     58,                0.63861,                0.36263,                0.92635,                0.91782,                0.82537,                0.89475,                0.54495,                 1.6721,                0.69463,                 1.6607,             0.00071785,             0.00071785,             0.00071785
                     59,                0.64512,                0.36287,                0.92486,                0.89763,                0.84362,                0.89067,                0.54471,                 1.6376,                0.68739,                 1.6269,              0.0007129,              0.0007129,              0.0007129
                     60,                0.63271,                0.36463,                0.92561,                0.88216,                0.85258,                0.89237,                0.54215,                 1.6336,                0.67953,                 1.6118,             0.00070795,             0.00070795,             0.00070795
                     61,                 0.6458,                0.36921,                0.92702,                0.89452,                0.83242,                0.88613,                 0.5317,                 1.6157,                 0.6913,                 1.5996,               0.000703,               0.000703,               0.000703
                     62,                0.62395,                0.35435,                0.92063,                0.89484,                0.85307,                0.89278,                 0.5449,                 1.5978,                0.65783,                 1.6499,             0.00069805,             0.00069805,             0.00069805
                     63,                0.61435,                0.35505,                0.92405,                0.92709,                0.83837,                  0.895,                0.54879,                 1.5928,                0.67965,                 1.6196,              0.0006931,              0.0006931,              0.0006931
                     64,                0.63209,                0.36209,                0.92102,                0.92842,                0.83526,                0.89379,                0.55172,                 1.5902,                0.67404,                 1.6118,             0.00068815,             0.00068815,             0.00068815
                     65,                0.62163,                0.35422,                0.92433,                0.89686,                0.84429,                0.89227,                0.55463,                 1.6448,                0.68958,                   1.62,              0.0006832,              0.0006832,              0.0006832
