                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.59871,                 0.3454,                0.91076,                0.90552,                0.84059,                0.88721,                0.54667,                 1.5903,                0.68673,                 1.5889,             0.00091337,             0.00091337,             0.00091337
                     37,                0.59708,                0.34304,                0.91639,                0.91544,                0.82428,                0.88434,                0.54592,                 1.6055,                0.66635,                 1.5697,              0.0009109,              0.0009109,              0.0009109
                     38,                0.58846,                0.34127,                0.90616,                0.92579,                0.81935,                0.89497,                0.54717,                 1.5687,                0.67751,                 1.5672,             0.00090842,             0.00090842,             0.00090842
                     39,                0.58368,                0.33917,                0.90679,                0.92035,                0.81671,                 0.8881,                0.53715,                 1.5977,                0.65379,                 1.5802,             0.00090595,             0.00090595,             0.00090595
                     40,                0.59034,                0.34321,                0.91107,                0.91814,                0.81978,                0.88946,                0.54699,                 1.5712,                0.69036,                 1.5498,             0.00090347,             0.00090347,             0.00090347
                     41,                0.59178,                0.34437,                0.90931,                0.90705,                 0.8486,                0.88805,                0.54841,                 1.5919,                0.64994,                 1.6104,               0.000901,               0.000901,               0.000901
                     42,                0.58417,                 0.3379,                0.90831,                0.88538,                0.84398,                0.88648,                0.54373,                 1.6158,                0.69293,                 1.5929,             0.00089853,             0.00089853,             0.00089853
                     43,                0.58484,                0.33786,                0.90444,                0.89858,                0.83835,                0.88388,                  0.532,                 1.5869,                0.65954,                 1.6112,             0.00089605,             0.00089605,             0.00089605
                     44,                0.58742,                0.34008,                0.91467,                0.88914,                 0.8419,                0.88748,                0.53955,                 1.5666,                0.66653,                 1.5793,             0.00089358,             0.00089358,             0.00089358
                     45,                0.57883,                0.34066,                0.90205,                0.89742,                0.83301,                0.88512,                 0.5328,                  1.536,                0.68001,                 1.5397,              0.0008911,              0.0008911,              0.0008911
                     46,                0.58526,                0.34126,                0.91184,                0.92114,                0.83395,                0.89563,                0.54038,                 1.5896,                0.73436,                 1.5854,             0.00088862,             0.00088862,             0.00088862
                     47,                0.58769,                0.34318,                0.91155,                0.90651,                0.83585,                0.88674,                0.53865,                 1.5335,                  0.643,                 1.5086,             0.00088615,             0.00088615,             0.00088615
                     48,                0.57473,                0.33847,                0.90483,                0.88707,                0.86075,                0.89032,                0.55112,                 1.5814,                0.66808,                 1.5902,             0.00088368,             0.00088368,             0.00088368
                     49,                0.58371,                0.33994,                0.90567,                0.87452,                0.84854,                0.89254,                0.54835,                  1.556,                0.64361,                 1.5817,              0.0008812,              0.0008812,              0.0008812
                     50,                0.58694,                0.34155,                0.90459,                 0.9306,                0.80955,                  0.879,                0.54052,                 1.5901,                0.68376,                 1.5836,             0.00087873,             0.00087873,             0.00087873
                     51,                0.57909,                0.33919,                0.90208,                0.90052,                0.81844,                0.87589,                 0.5282,                 1.5798,                0.69396,                 1.5715,             0.00087625,             0.00087625,             0.00087625
                     52,                0.57027,                0.33295,                0.90526,                0.90656,                0.82892,                 0.8915,                0.54706,                 1.5729,                0.67636,                 1.5375,             0.00087378,             0.00087378,             0.00087378
                     53,                0.57984,                0.33733,                0.90176,                0.87512,                0.87266,                0.90044,                0.54972,                 1.5538,                 0.6652,                 1.5805,              0.0008713,              0.0008713,              0.0008713
                     54,                0.57444,                0.33534,                0.90276,                 0.9205,                0.82145,                0.89426,                0.53937,                 1.5893,                0.69114,                 1.6085,             0.00086882,             0.00086882,             0.00086882
                     55,                0.56286,                0.33122,                0.89684,                 0.9138,                0.84161,                0.88933,                0.53927,                 1.5716,                0.69514,                 1.5985,             0.00086635,             0.00086635,             0.00086635
                     56,                 0.5627,                0.32845,                0.89887,                0.91125,                0.83978,                0.89233,                0.53791,                 1.5962,                0.69845,                 1.6182,             0.00086388,             0.00086388,             0.00086388
                     57,                0.56849,                0.33573,                0.90389,                0.88352,                0.84783,                0.88863,                0.54057,                 1.5727,                0.67484,                 1.6174,              0.0008614,              0.0008614,              0.0008614
                     58,                0.56557,                0.33131,                0.89832,                0.89714,                0.83907,                0.89036,                0.54976,                 1.5744,                0.68615,                 1.5698,             0.00085893,             0.00085893,             0.00085893
                     59,                0.57326,                0.32948,                 0.8993,                0.88665,                0.85368,                0.89415,                0.54878,                 1.5696,                 0.6531,                 1.5639,             0.00085645,             0.00085645,             0.00085645
                     60,                0.56758,                 0.3326,                0.90072,                0.87881,                0.85018,                0.88502,                 0.5446,                 1.6188,                0.66237,                 1.6229,             0.00085398,             0.00085398,             0.00085398
                     61,                 0.5747,                0.33516,                0.90024,                0.89681,                0.83356,                0.88191,                0.53998,                  1.615,                0.70759,                 1.6317,              0.0008515,              0.0008515,              0.0008515
                     62,                0.55932,                0.32547,                0.89626,                0.90452,                0.83214,                0.88523,                0.54602,                 1.5932,                0.63963,                 1.6406,             0.00084902,             0.00084902,             0.00084902
                     63,                0.55712,                0.32628,                0.90296,                0.89281,                0.85035,                 0.8966,                0.54449,                 1.6187,                0.70196,                  1.623,             0.00084655,             0.00084655,             0.00084655
                     64,                0.57405,                0.33835,                0.89996,                0.93045,                0.81139,                 0.8913,                0.54317,                 1.6363,                 0.7012,                 1.6622,             0.00084408,             0.00084408,             0.00084408
                     65,                 0.5602,                0.32843,                0.89979,                0.91107,                0.83975,                0.89051,                0.54496,                 1.5997,                0.67932,                 1.6554,              0.0008416,              0.0008416,              0.0008416
                     66,                0.57018,                0.33475,                0.90565,                0.89405,                0.82896,                0.88325,                0.54284,                 1.5854,                0.68087,                 1.5918,             0.00083913,             0.00083913,             0.00083913
                     67,                0.55351,                0.32453,                0.89275,                0.90381,                0.84543,                0.89316,                0.54861,                 1.6286,                0.66792,                 1.6575,             0.00083665,             0.00083665,             0.00083665
                     68,                0.55921,                0.32454,                0.89386,                0.90816,                0.83086,                0.89125,                0.54487,                  1.584,                0.70978,                 1.6302,             0.00083418,             0.00083418,             0.00083418
                     69,                 0.5661,                0.33101,                0.90033,                 0.9134,                0.82891,                0.88298,                0.54528,                 1.5888,                0.66973,                 1.5867,              0.0008317,              0.0008317,              0.0008317
                     70,                0.56313,                0.32645,                0.89556,                0.93407,                0.82603,                0.89946,                0.54336,                 1.5712,                0.65052,                 1.5629,             0.00082923,             0.00082923,             0.00082923
                     71,                0.55477,                0.32374,                0.89715,                0.89337,                0.83427,                0.88557,                0.53973,                 1.5891,                0.67457,                 1.5455,             0.00082675,             0.00082675,             0.00082675
                     72,                0.56019,                0.32804,                0.89635,                0.88497,                0.85168,                0.88635,                0.54211,                 1.6575,                0.70428,                 1.6386,             0.00082427,             0.00082427,             0.00082427
                     73,                0.56627,                0.32805,                0.89683,                0.89909,                0.83874,                0.88722,                 0.5457,                  1.598,                0.66772,                  1.574,              0.0008218,              0.0008218,              0.0008218
                     74,                0.54984,                0.32071,                0.88926,                0.92851,                0.82178,                 0.8834,                0.53527,                 1.5798,                0.65642,                  1.613,             0.00081932,             0.00081932,             0.00081932
                     75,                0.55533,                0.32275,                0.89625,                0.90476,                0.84254,                0.88597,                 0.5508,                 1.5998,                0.68969,                 1.6179,             0.00081685,             0.00081685,             0.00081685
                     76,                0.55996,                 0.3278,                0.89728,                 0.9115,                0.84131,                0.88908,                0.54915,                 1.5849,                0.67525,                 1.6331,             0.00081437,             0.00081437,             0.00081437
                     77,                0.54988,                0.32184,                0.89534,                0.94095,                0.83181,                  0.893,                0.54359,                 1.6488,                0.70335,                 1.6743,              0.0008119,              0.0008119,              0.0008119
                     78,                0.56595,                0.32696,                0.89772,                0.91904,                0.83702,                0.88992,                   0.54,                 1.6428,                0.69723,                 1.7102,             0.00080943,             0.00080943,             0.00080943
                     79,                0.57556,                0.33229,                0.90337,                0.91409,                0.81872,                0.88499,                0.53809,                 1.6461,                0.67866,                 1.6856,             0.00080695,             0.00080695,             0.00080695
                     80,                0.57276,                0.33616,                0.90165,                0.90344,                0.85108,                0.89554,                0.54656,                 1.6505,                0.70778,                 1.6218,             0.00080447,             0.00080447,             0.00080447
                     81,                0.56748,                0.33437,                0.90483,                0.89464,                0.84493,                0.88185,                0.54193,                 1.6006,                 0.6913,                 1.5852,               0.000802,               0.000802,               0.000802
                     82,                0.56297,                0.32989,                0.89963,                0.90724,                0.82973,                0.88146,                0.53602,                 1.5808,                0.67842,                 1.6386,             0.00079953,             0.00079953,             0.00079953
                     83,                0.56051,                0.32934,                 0.9031,                0.88228,                0.82168,                0.87243,                0.53931,                 1.6669,                0.70212,                 1.7657,             0.00079705,             0.00079705,             0.00079705
                     84,                0.57173,                0.33037,                0.90107,                0.89762,                0.83542,                0.89269,                0.55153,                 1.6183,                0.68646,                 1.6806,             0.00079458,             0.00079458,             0.00079458
                     85,                0.57055,                 0.3292,                0.89922,                0.88249,                  0.843,                 0.8898,                0.54271,                 1.6121,                0.68225,                 1.6144,              0.0007921,              0.0007921,              0.0007921
                     86,                0.56595,                0.33258,                0.89757,                0.89156,                0.84924,                0.88275,                0.53636,                 1.6346,                0.67504,                 1.6716,             0.00078963,             0.00078963,             0.00078963
                     87,                0.57393,                0.33254,                 0.8998,                0.90269,                0.83671,                0.88223,                0.53307,                 1.6251,                0.69552,                 1.6189,             0.00078715,             0.00078715,             0.00078715
                     88,                0.57246,                  0.332,                0.90043,                 0.9037,                0.81327,                0.88147,                0.53431,                 1.6302,                0.71124,                 1.6413,             0.00078467,             0.00078467,             0.00078467
                     89,                0.56634,                0.32979,                0.90163,                0.90944,                0.82939,                0.88837,                0.54494,                 1.6483,                0.72679,                 1.6664,              0.0007822,              0.0007822,              0.0007822
                     90,                0.55862,                 0.3261,                0.89672,                0.92629,                0.81226,                0.88647,                0.54698,                 1.6347,                0.72506,                 1.6311,             0.00077972,             0.00077972,             0.00077972
                     91,                0.56685,                 0.3302,                0.89934,                0.89485,                 0.8436,                0.89066,                0.55132,                 1.6292,                0.72173,                 1.6611,             0.00077725,             0.00077725,             0.00077725
                     92,                0.56857,                0.32837,                0.89671,                0.88882,                 0.8394,                0.88332,                0.53702,                 1.6043,                0.71378,                 1.6292,             0.00077478,             0.00077478,             0.00077478
                     93,                0.56081,                0.32676,                0.90052,                0.92683,                0.83116,                0.89109,                0.53744,                 1.6224,                0.67625,                  1.623,              0.0007723,              0.0007723,              0.0007723
                     94,                0.55939,                0.32521,                0.90022,                0.92735,                0.83665,                0.89173,                0.54402,                 1.5969,                  0.653,                 1.5673,             0.00076983,             0.00076983,             0.00076983
                     95,                0.56227,                0.32642,                0.90043,                0.90836,                0.85286,                0.89602,                0.54583,                 1.5935,                0.65066,                  1.607,             0.00076735,             0.00076735,             0.00076735
                     96,                 0.5495,                0.32391,                0.89944,                0.89956,                0.84625,                0.88403,                0.54568,                 1.5962,                 0.6834,                 1.6474,             0.00076488,             0.00076488,             0.00076488
                     97,                0.56438,                0.32934,                 0.9016,                0.91887,                0.82928,                0.88534,                0.54168,                  1.616,                0.69562,                 1.6325,              0.0007624,              0.0007624,              0.0007624
                     98,                0.57073,                0.33385,                0.89934,                0.90965,                 0.8292,                0.87987,                0.54188,                 1.5845,                0.66532,                  1.641,             0.00075993,             0.00075993,             0.00075993
                     99,                0.57551,                0.33296,                0.90494,                0.91717,                0.83779,                0.89443,                0.54577,                 1.5589,                0.65701,                  1.602,             0.00075745,             0.00075745,             0.00075745
                    100,                 0.5498,                  0.325,                0.89989,                0.89874,                0.83253,                0.88702,                0.54641,                 1.5846,                0.68427,                 1.5763,             0.00075497,             0.00075497,             0.00075497
                    101,                 0.5632,                0.32795,                0.89615,                0.89966,                0.82771,                0.88122,                0.54585,                 1.5706,                0.64849,                  1.599,              0.0007525,              0.0007525,              0.0007525
                    102,                0.54334,                0.32109,                0.89512,                0.89171,                0.85187,                0.88206,                0.54478,                  1.614,                 0.6812,                  1.622,             0.00075003,             0.00075003,             0.00075003
