                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.97852,                0.79854,                 1.4037,                 1.1685,                0.92435,                 1.3695,                0.82413,                0.73102,                0.80318,                0.46224,                 1.3374,                0.80897,                 1.6599,                 1.4658,                 0.9738,                 1.5656,              0.0008548,              0.0008548,              0.0008548
                     25,                0.94822,                0.78585,                 1.3989,                 1.1094,                0.91858,                  1.376,                0.84081,                0.73139,                 0.8126,                0.46717,                 1.3252,                0.81647,                 1.6405,                 1.4744,                0.92154,                 1.5688,              0.0008482,              0.0008482,              0.0008482
                     26,                0.95596,                0.79774,                 1.3993,                 1.1205,                0.92149,                 1.3751,                0.81365,                 0.7162,                0.80021,                0.45858,                 1.3459,                0.84845,                 1.6538,                 1.4775,                 1.0315,                  1.577,              0.0008416,              0.0008416,              0.0008416
                     27,                0.95409,                0.78963,                 1.4017,                 1.1311,                0.89966,                 1.3743,                0.82739,                0.76665,                0.82754,                0.47429,                 1.3318,                0.80323,                 1.6311,                 1.4965,                0.88629,                 1.5628,               0.000835,               0.000835,               0.000835
                     28,                0.94818,                0.78284,                 1.4013,                 1.1337,                0.89958,                 1.3728,                0.86711,                0.73646,                0.83346,                 0.4665,                 1.3453,                0.82347,                 1.6407,                 1.4815,                0.95362,                 1.5622,              0.0008284,              0.0008284,              0.0008284
                     29,                0.94882,                0.78059,                 1.3855,                 1.1405,                0.89645,                 1.3569,                 0.8037,                0.76454,                0.81854,                0.45993,                 1.3676,                0.80447,                 1.6616,                 1.5976,                0.91419,                 1.6062,              0.0008218,              0.0008218,              0.0008218
                     30,                0.91352,                0.76248,                 1.3962,                 1.0744,                0.87763,                 1.3656,                0.82878,                0.76328,                0.82429,                0.48049,                 1.3167,                0.80448,                 1.6357,                 1.4712,                0.94607,                 1.5699,              0.0008152,              0.0008152,              0.0008152
                     31,                0.91989,                 0.7635,                 1.3843,                 1.0782,                 0.8885,                 1.3596,                0.85722,                0.73617,                0.81927,                0.45958,                  1.376,                0.81217,                 1.6686,                 1.5221,                0.92511,                 1.5835,              0.0008086,              0.0008086,              0.0008086
                     32,                0.93083,                0.76971,                 1.3953,                 1.1019,                0.89037,                 1.3716,                0.82492,                0.77209,                0.83189,                0.48052,                 1.3175,                0.79011,                  1.645,                 1.4371,                0.91286,                 1.5487,               0.000802,               0.000802,               0.000802
                     33,                0.91592,                0.75469,                 1.3745,                 1.0773,                0.86144,                 1.3513,                0.81638,                0.75808,                0.81935,                 0.4609,                 1.3437,                0.79725,                  1.628,                 1.5303,                0.92312,                 1.5623,              0.0007954,              0.0007954,              0.0007954
                     34,                0.89291,                 0.7396,                  1.357,                 1.0718,                0.84284,                 1.3352,                0.85241,                0.77036,                0.83466,                0.47565,                 1.3028,                0.78452,                 1.6252,                 1.4729,                0.92821,                   1.57,              0.0007888,              0.0007888,              0.0007888
                     35,                0.90348,                0.72932,                 1.3505,                 1.0812,                0.83659,                 1.3256,                0.85632,                0.73368,                0.82153,                0.47161,                 1.3728,                0.80652,                  1.649,                 1.4995,                0.93547,                 1.5632,              0.0007822,              0.0007822,              0.0007822
                     36,                0.91697,                0.75235,                 1.3648,                 1.0941,                0.87543,                 1.3399,                0.83049,                0.75458,                0.81935,                0.46751,                  1.367,                0.79551,                 1.6423,                 1.5056,                0.92434,                 1.5681,              0.0007756,              0.0007756,              0.0007756
