                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.49807,                 0.2875,                 0.8882,                0.93077,                0.82451,                0.88893,                0.54474,                 1.5696,                0.70664,                  1.826,             0.00091337,             0.00091337,             0.00091337
                     37,                 0.4985,                0.28586,                0.88848,                0.91181,                0.81639,                0.88417,                0.54466,                 1.5908,                0.74845,                  1.863,              0.0009109,              0.0009109,              0.0009109
                     38,                0.49211,                0.28401,                0.88446,                0.88961,                0.83757,                0.88893,                 0.5461,                 1.5408,                0.69067,                   1.85,             0.00090842,             0.00090842,             0.00090842
                     39,                0.48406,                0.28026,                0.88253,                0.91824,                0.84739,                0.89767,                0.54563,                  1.566,                 0.6947,                 1.8573,             0.00090595,             0.00090595,             0.00090595
                     40,                0.49094,                0.28528,                 0.8908,                0.91535,                0.83692,                0.89565,                0.54873,                 1.5285,                0.69355,                 1.8668,             0.00090347,             0.00090347,             0.00090347
                     41,                0.49628,                0.28755,                0.88455,                0.90662,                0.85615,                0.89577,                0.54941,                 1.5486,                0.67013,                 1.8578,               0.000901,               0.000901,               0.000901
                     42,                0.48487,                0.28099,                0.88338,                0.92147,                0.82511,                0.88908,                0.55064,                 1.5106,                0.71368,                 1.8125,             0.00089853,             0.00089853,             0.00089853
                     43,                0.48293,                0.27885,                0.88273,                0.93164,                 0.8196,                0.88388,                0.54529,                 1.5708,                0.71789,                 1.7903,             0.00089605,             0.00089605,             0.00089605
                     44,                0.49448,                0.28468,                0.89169,                0.91488,                0.83294,                0.88088,                0.54876,                 1.5542,                0.72148,                 1.8038,             0.00089358,             0.00089358,             0.00089358
                     45,                0.48242,                0.28397,                0.88268,                0.92754,                0.82844,                0.88436,                0.53436,                 1.5295,                0.71605,                 1.7828,              0.0008911,              0.0008911,              0.0008911
                     46,                0.48689,                0.28098,                 0.8868,                0.89504,                0.84707,                0.88952,                0.54654,                   1.54,                0.73671,                  1.812,             0.00088862,             0.00088862,             0.00088862
                     47,                0.48684,                0.28141,                0.88539,                0.92363,                0.82501,                0.88993,                0.55134,                 1.5474,                0.67249,                 1.8158,             0.00088615,             0.00088615,             0.00088615
