epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.338,2.817,3.04676,3.66645,0.37555,0.4475,0.38683,0.15978,1.26045,1.61623,1.97247,0.000323529,0.000323529,0.000323529
2,56.4601,0.33537,0.74266,1.09064,0.88832,0.78997,0.85443,0.49576,0.84514,0.83316,2.00628,0.00065036,0.00065036,0.00065036
3,80.7894,0.18809,0.47775,0.94055,0.89121,0.8385,0.8687,0.51379,0.83317,0.77329,1.977,0.00097059,0.00097059,0.00097059
4,105.608,0.16344,0.41529,0.91663,0.91351,0.82015,0.87645,0.51788,0.8374,0.72413,1.92572,0.0009703,0.0009703,0.0009703
5,130.406,0.15618,0.39294,0.91427,0.88207,0.8102,0.85789,0.51724,0.88118,0.74025,1.96314,0.0009604,0.0009604,0.0009604
6,154.762,0.15341,0.38095,0.91144,0.90951,0.82431,0.87754,0.5342,0.87122,0.71781,1.93588,0.0009505,0.0009505,0.0009505
7,179.392,0.14966,0.36637,0.91375,0.89385,0.84322,0.8968,0.53849,0.89645,0.74835,1.93961,0.0009406,0.0009406,0.0009406
8,204.128,0.14489,0.35301,0.90605,0.90683,0.79813,0.87889,0.53735,0.85182,0.72427,1.90898,0.0009307,0.0009307,0.0009307
9,228.767,0.15673,0.36463,0.91071,0.90154,0.84087,0.89182,0.52473,0.86568,0.72962,1.94166,0.0009208,0.0009208,0.0009208
10,253.262,0.15315,0.35582,0.91081,0.89739,0.84182,0.89471,0.54809,0.85665,0.72904,1.92769,0.0009109,0.0009109,0.0009109
11,278.067,0.14765,0.35002,0.90361,0.91918,0.84104,0.89135,0.53943,0.85588,0.74182,1.92186,0.000901,0.000901,0.000901
12,302.631,0.14737,0.34557,0.90528,0.90943,0.82412,0.88216,0.53956,0.90682,0.68884,1.92371,0.0008911,0.0008911,0.0008911
13,327.075,0.14346,0.34044,0.9044,0.89246,0.82905,0.8874,0.54773,0.89924,0.69908,1.94553,0.0008812,0.0008812,0.0008812
